date, pm25
27-May-2022-4 PM,
27-May-2022-5 PM,
27-May-2022-6 PM,
27-May-2022-7 PM,
27-May-2022-8 PM,
27-May-2022-9 PM,
27-May-2022-10 PM,
27-May-2022-11 PM,
28-May-2022-12 AM,
28-May-2022-1 AM,
28-May-2022-2 AM,
28-May-2022-3 AM,
28-May-2022-4 AM,
28-May-2022-5 AM,
28-May-2022-6 AM,
28-May-2022-7 AM,
28-May-2022-8 AM,
28-May-2022-9 AM,
28-May-2022-10 AM,
28-May-2022-11 AM,
28-May-2022-12 PM,
28-May-2022-1 PM,
28-May-2022-2 PM,
28-May-2022-3 PM,
28-May-2022-4 PM,
28-May-2022-5 PM,
28-May-2022-6 PM,
28-May-2022-7 PM,
28-May-2022-8 PM,
28-May-2022-9 PM,
28-May-2022-10 PM,
28-May-2022-11 PM,
29-May-2022-12 AM,
29-May-2022-1 AM,
29-May-2022-2 AM,
29-May-2022-3 AM,
29-May-2022-4 AM,
29-May-2022-5 AM,
29-May-2022-6 AM,
29-May-2022-7 AM,
29-May-2022-8 AM,
29-May-2022-9 AM,
29-May-2022-10 AM,
29-May-2022-11 AM,
29-May-2022-12 PM,
29-May-2022-1 PM,
29-May-2022-2 PM,
29-May-2022-3 PM,
29-May-2022-4 PM,
29-May-2022-5 PM,12.71
29-May-2022-6 PM,13.16
29-May-2022-7 PM,13.88
29-May-2022-8 PM,14.99
29-May-2022-9 PM,15.8
29-May-2022-10 PM,9.3
29-May-2022-11 PM,10.29
30-May-2022-12 AM,11.62
30-May-2022-1 AM,11.18
30-May-2022-2 AM,11.06
30-May-2022-3 AM,11.04
30-May-2022-4 AM,10.79
30-May-2022-5 AM,10.6
30-May-2022-6 AM,9.39
30-May-2022-7 AM,7.21
30-May-2022-8 AM,6.69
30-May-2022-9 AM,7.17
30-May-2022-10 AM,8.72
30-May-2022-11 AM,8.79
30-May-2022-12 PM,8.19
30-May-2022-1 PM,7.51
30-May-2022-2 PM,8.58
30-May-2022-3 PM,11.54
30-May-2022-4 PM,11.99
30-May-2022-5 PM,12.68
30-May-2022-6 PM,17.03
30-May-2022-7 PM,16.95
30-May-2022-8 PM,13.83
30-May-2022-9 PM,11.69
30-May-2022-10 PM,11.78
30-May-2022-11 PM,11.49
31-May-2022-12 AM,11.3
31-May-2022-1 AM,10.54
31-May-2022-2 AM,9.67
31-May-2022-3 AM,9.63
31-May-2022-4 AM,9.45
31-May-2022-5 AM,10.35
31-May-2022-6 AM,9.67
31-May-2022-7 AM,10.74
31-May-2022-8 AM,11.45
31-May-2022-9 AM,11.03
31-May-2022-10 AM,12.27
31-May-2022-11 AM,9.52
31-May-2022-12 PM,8.16
31-May-2022-1 PM,8.19
31-May-2022-2 PM,8.01
31-May-2022-3 PM,8.44
31-May-2022-4 PM,9.93
31-May-2022-5 PM,11.42
31-May-2022-6 PM,6.61
31-May-2022-7 PM,3.71
31-May-2022-8 PM,3.59
31-May-2022-9 PM,4.28
31-May-2022-10 PM,4.72
31-May-2022-11 PM,4.73
1-Jun-2022-12 AM,6.87
1-Jun-2022-1 AM,9.1
1-Jun-2022-2 AM,11.63
1-Jun-2022-3 AM,12.26
1-Jun-2022-4 AM,12.99
1-Jun-2022-5 AM,13.12
1-Jun-2022-6 AM,13.44
1-Jun-2022-7 AM,13.08
1-Jun-2022-8 AM,10.34
1-Jun-2022-9 AM,11.32
1-Jun-2022-10 AM,11.87
1-Jun-2022-11 AM,13.44
1-Jun-2022-12 PM,14.66
1-Jun-2022-1 PM,11.15
1-Jun-2022-2 PM,11.31
1-Jun-2022-3 PM,11.31
1-Jun-2022-4 PM,14.06
1-Jun-2022-5 PM,14.91
1-Jun-2022-6 PM,18.02
1-Jun-2022-7 PM,22.17
1-Jun-2022-8 PM,19.8
1-Jun-2022-9 PM,22.01
1-Jun-2022-10 PM,19.57
1-Jun-2022-11 PM,17.44
